기간	자치구	동	합계	합계	합계	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형
기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2019	합계	합계	394,843	228,821	166,022	176,767	99,610	77,157	41,304	24,531	16,773	41,832	25,199	16,633	54,940	30,291	24,649	3,327	2,399	928	26,778	16,420	10,358	6,100	5,174	926	16,435	8,443	7,992	17,166	10,075	7,091	1,068	692	376	2,127	1,564	563	2,515	1,740	775	385	212	173	2,855	1,784	1,071	1,244	687	557
2019	종로구	소계	6,068	3,515	2,553	2,661	1,431	1,230	574	363	211	717	445	272	905	511	394	42	32	10	396	236	160	111	92	19	271	153	118	251	157	94	11	6	5	23	19	4	46	35	11	6	3	3	34	21	13	20	11	9
2019	종로구	사직동	295	169	126	129	75	54	38	20	18	38	23	15	31	11	20	1	1	-	18	9	9	8	7	1	11	7	4	14	11	3	1	1	-	2	1	1	2	2	-	-	-	-	1	1	-	1	-	1
2019	종로구	삼청동	112	60	52	48	27	21	14	8	6	11	6	5	19	7	12	-	-	-	3	1	2	1	1	-	9	3	6	5	5	-	-	-	-	1	1	-	1	1	-	-	-	-	-	-	-	-	-	-
2019	종로구	부암동	316	179	137	118	59	59	30	19	11	37	21	16	54	32	22	2	2	-	24	15	9	9	8	1	18	10	8	12	7	5	1	1	-	-	-	-	4	2	2	1	-	1	5	3	2	1	-	1
2019	종로구	평창동	538	294	244	228	120	108	54	30	24	70	35	35	83	41	42	5	2	3	36	22	14	11	11	-	14	6	8	24	17	7	-	-	-	2	1	1	5	4	1	-	-	-	5	4	1	1	1	-
2019	종로구	무악동	337	184	153	126	61	65	26	17	9	43	28	15	61	30	31	4	4	-	26	13	13	12	8	4	13	9	4	15	8	7	2	1	1	3	2	1	3	1	2	-	-	-	3	2	1	-	-	-
2019	종로구	교남동	360	191	169	162	81	81	31	16	15	31	16	15	60	28	32	4	1	3	22	14	8	12	11	1	15	10	5	16	9	7	-	-	-	2	2	-	2	1	1	-	-	-	-	-	-	3	2	1
